时间,开盘,最高,最低,收盘,总手(万),金额(亿)
"1990-12-19,三",96.05,99.98,95.79,99.98,49400,494311
"1990-12-20,四",104.3,104.39,99.98,104.39,8400,84992
"1990-12-21,五",109.07,109.13,103.73,109.13,1600,16096
"1990-12-24,一",113.57,114.55,109.13,114.55,3100,31063
"1990-12-25,二",120.09,120.25,114.55,120.25,600,6510
"1990-12-26,三",125.27,125.27,120.25,125.27,5300,53730
"1990-12-27,四",125.27,125.28,125.27,125.28,10400,104644
"1990-12-28,五",126.39,126.45,125.28,126.45,8800,88031
"1990-12-31,一",126.56,127.61,126.48,127.61,6000,60030
"1991-01-02,三",127.61,128.84,127.61,128.84,5900,59098
"1991-01-03,四",128.84,130.13,128.84,130.13,9300,93918
"1991-01-04,五",131.27,131.44,130.13,131.44,26100,261904
"1991-01-07,一",131.99,132.06,131.44,132.06,14100,141737
"1991-01-08,二",132.62,132.68,132.06,132.68,180600,1806867
"1991-01-09,三",133.3,133.34,132.68,133.34,322800,3228719
"1991-01-10,四",133.93,133.97,133.34,133.97,539900,5399457
"1991-01-11,五",134.61,134.61,134.51,134.6,711500,7115732
"1991-01-14,一",134.11,135.19,134.11,134.66,688300,6883604
"1991-01-15,二",134.21,134.74,134.19,134.74,101000,1010364
"1991-01-16,三",134.19,134.74,134.13,134.24,27000,270133
"1991-01-17,四",133.66,134.25,133.65,134.25,33400,334238
"1991-01-18,五",133.69,134.25,133.66,134.24,157000,1570833
"1991-01-21,一",133.69,134.24,133.66,134.24,102900,1029305
"1991-01-22,二",133.72,134.24,133.66,133.72,18000,180787
"1991-01-23,三",133.16,133.72,133.13,133.16,57500,575928
"1991-01-24,四",132.61,133.16,132.57,132.61,91700,917392
"1991-01-25,五",132.05,132.07,132.03,132.05,172200,1722246
"1991-01-28,一",131.46,131.55,131.46,131.46,256500,2565573
"1991-01-29,二",130.94,130.97,130.94,130.94,71000,710741
"1991-01-30,三",130.44,130.94,130.41,130.44,26000,260701
"1991-01-31,四",129.93,130.46,129.93,129.97,24400,244662
"1991-02-01,五",129.5,129.97,129.44,129.51,14000,140871
"1991-02-04,一",129.05,129.58,129.05,129.05,27300,273652
"1991-02-05,二",128.56,128.58,128.53,128.58,425000,4250084
"1991-02-06,三",129.13,129.15,128.06,129.13,384700,3847268
"1991-02-07,四",129.74,129.79,129.13,129.79,150400,1504814
"1991-02-08,五",130.36,130.38,129.79,130.38,87900,879868
"1991-02-11,一",130.91,130.97,130.38,130.97,483400,4834876
"1991-02-12,二",131.54,131.56,130.97,131.35,198600,1986983
"1991-02-13,三",131.93,131.93,131.35,131.91,67300,673738
"1991-02-14,四",132.53,132.53,132.3,132.53,188300,1883072
"1991-02-19,二",133.12,133.13,133.08,133.13,121600,1216176
"1991-02-20,三",133.63,133.66,133.13,133.66,52000,520724
"1991-02-21,四",134.24,134.28,133.66,134.28,177100,1771726
"1991-02-22,五",134.85,134.87,134.28,134.87,200300,2003776
"1991-02-25,一",134.37,134.87,134.33,134.4,62100,621015
"1991-02-26,二",133.9,134.44,133.9,133.93,254500,2545711
"1991-02-27,三",133.44,133.97,133.44,133.47,14100,141958
"1991-02-28,四",132.99,133.52,132.97,133.01,118700,1187974
"1991-03-01,五",132.53,132.53,132.47,132.53,377700,3777320
"1991-03-04,一",132.09,132.09,131.97,131.99,141800,1418017
"1991-03-05,二",131.41,131.99,131.41,131.46,93400,934706
"1991-03-06,三",130.88,130.94,130.88,130.94,134500,1345390
"1991-03-07,四",130.41,130.94,130.41,130.41,42700,427475
"1991-03-08,五",129.84,130.41,129.84,129.88,54100,541770
"1991-03-11,一",129.3,129.88,129.3,129.31,29900,299524
"1991-03-12,二",128.72,129.31,128.72,128.77,78300,783099
"1991-03-13,三",126.13,128.77,126.13,126.15,41800,418280
"1991-03-14,四",125.61,126.15,125.61,125.63,24200,242557
"1991-03-15,五",125.08,125.62,125.08,125.17,40300,403520
"1991-03-18,一",124.7,125.17,124.69,124.71,121000,1210411
"1991-03-19,二",124.23,124.71,124.22,124.22,68200,682933
"1991-03-20,三",123.66,124.21,123.63,123.66,43300,433147
"1991-03-21,四",123.14,123.66,123.12,123.12,13100,131064
"1991-03-22,五",122.62,123.12,122.62,122.62,12000,120129
"1991-03-25,一",122.12,122.62,122.1,122.12,32400,324176
"1991-03-26,二",121.62,122.14,121.62,121.62,70900,709040
"1991-03-27,三",121.12,121.64,121.12,121.12,36600,366005
"1991-03-28,四",120.65,121.15,120.61,120.61,50500,505657
"1991-03-29,五",120.16,120.61,120.11,120.19,218600,2186180
"1991-04-01,一",120.69,120.73,119.68,120.73,566600,5666672
"1991-04-02,二",121.21,121.29,120.73,121.21,38700,387611
"1991-04-03,三",121.71,121.71,121.21,121.71,97700,977171
"1991-04-04,四",122.2,122.2,121.24,121.72,504500,5045893
"1991-04-05,五",121.07,121.73,121.03,121.54,603500,6035557
"1991-04-08,一",121.11,121.11,121.05,121.09,167500,1675834
"1991-04-09,二",120.6,121.1,120.6,120.62,29700,297122
"1991-04-10,三",120.15,120.62,120.09,120.16,28100,281235
"1991-04-11,四",119.64,120.16,119.62,119.64,57600,576817
"1991-04-12,五",119.2,119.65,119.15,119.21,30100,301333
"1991-04-15,一",118.73,119.22,118.72,118.77,38600,386981
"1991-04-16,二",118.36,118.77,118.34,118.34,17700,177216
"1991-04-17,三",117.92,118.34,117.89,117.9,25900,259495
"1991-04-18,四",117.45,117.93,117.45,117.45,13300,133927
"1991-04-19,五",117.08,117.5,117.05,117.08,42400,424675
"1991-04-22,一",116.63,117.08,116.58,116.63,32100,321322
"1991-04-23,二",116.21,116.63,116.15,116.19,26400,264379
"1991-04-24,三",115.7,116.19,115.7,115.79,12100,121786
"1991-04-25,四",115.38,115.79,115.33,115.36,99800,998928
"1991-04-26,五",116.31,116.31,114.52,115.56,580600,5806770
"1991-04-29,一",114.86,116.29,114.75,114.75,361000,3610730
"1991-04-30,二",113.89,114.87,113.89,113.94,273400,2734172
"1991-05-02,四",113.04,113.2,113.03,113.16,112400,1124048
"1991-05-03,五",112.46,113.17,112.3,112.41,238600,2386862
"1991-05-06,一",111.65,112.41,111.57,111.61,142300,1423590
"1991-05-07,二",110.8,110.9,110.8,110.82,90700,907005
"1991-05-08,三",110.16,110.82,110,110.03,37500,375190
"1991-05-09,四",109.36,110.12,109.31,109.32,226600,1215566
"1991-05-10,五",108.61,109.4,108.53,108.53,31300,313181
"1991-05-13,一",107.88,107.88,107.74,107.84,18200,182296
"1991-05-14,二",107.21,107.84,107.06,107.19,18500,185380
"1991-05-15,三",106.56,106.6,106.42,106.57,30700,307736
"1991-05-16,四",105.83,105.86,105.69,105.77,144500,1445855
"1991-05-17,五",105.12,106.75,104.96,106.75,763300,7633140
"1991-05-20,一",107.76,107.82,106.71,107.82,92400,924212
"1991-05-21,二",108.89,108.89,108.62,108.81,130900,1309557
"1991-05-22,三",109.71,109.82,108.11,108.25,796700,7967008
"1991-05-23,四",107.52,109.16,107.35,109.08,277000,2770507
"1991-05-24,五",110.07,110.08,109.82,110.08,66100,661006
"1991-05-27,一",111.05,111.07,109.47,110.66,382700,3827789
"1991-05-28,二",111.61,111.68,111.36,111.68,97000,970461
"1991-05-29,三",112.75,112.75,111.67,112.75,132000,1320629
"1991-05-30,四",113.74,113.82,112.77,113.82,75300,753456
"1991-05-31,五",114.83,114.83,113.84,114.83,147000,1470487
"1991-06-03,一",115.9,115.97,114.89,115.97,164300,1643078
"1991-06-04,二",117.12,117.12,116.83,117.12,201800,2018633
"1991-06-05,三",118.17,118.17,117.14,118.17,27900,279283
"1991-06-06,四",119.26,119.33,118.17,119.31,26600,160508
"1991-06-07,五",120.46,120.47,119.35,120.47,8300,83206
"1991-06-10,一",121.65,121.67,120.47,121.67,45800,458929
"1991-06-11,二",122.89,122.89,121.67,122.89,37500,375012
"1991-06-12,三",123.9,124.11,122.89,124.11,73500,735371
"1991-06-13,四",125.33,125.34,123.65,125.34,1156300,11563763
"1991-06-14,五",124.47,126.34,124.47,124.53,354100,3541098
"1991-06-17,一",125.63,125.77,123.54,125.77,405600,4056679
"1991-06-18,二",127.03,127.03,126.67,127.03,101500,1015149
"1991-06-19,三",128.12,128.29,127.03,128.29,74400,744123
"1991-06-20,四",129.55,129.57,129.21,129.57,132100,1321261
"1991-06-21,五",130.72,130.86,128.81,130.86,774600,7746480
"1991-06-24,一",132.1,132.16,131.8,132.16,165700,1657788
"1991-06-25,二",133.47,133.49,132.16,133.49,129600,1296047
"1991-06-26,三",134.83,134.83,133.49,134.83,214900,2149983
"1991-06-27,四",136.04,136.19,134.83,136.19,252100,2521206
"1991-06-28,五",137.41,137.56,136.19,137.56,303200,3032950
"1991-07-01,一",136.63,138.62,136.56,136.85,1246900,12469884
"1991-07-02,二",135.91,135.96,135.69,135.96,379400,3794100
"1991-07-03,三",135.28,135.96,134.97,135.27,181800,1818504
"1991-07-04,四",136.63,136.63,134.19,136.63,809500,8095138
"1991-07-05,五",136.01,137.68,135.9,135.96,939400,9394861
